RefID,Income,LoanBalance,Age,InterestType,MortgageType,InterestIncome,MortgageYears,PropertyValue,AnnualPayment,CreditRating,InterestRate,LoanToValue,Default
93,91503,"11,836",40,3,2,89,32,"1,00,577","3,143",4,1,136,0
94,44236,"1,19,540",64,3,1,"4,034",35,"1,92,806","5,509",1,3,61,0
95,93606,"77,360",40,3,1,"3,578",30,"1,20,874","4,029",4,4,112,0
96,119108,"1,90,755",42,3,2,"5,007",30,"2,54,340","8,478",1,2,118,0
97,45750,"1,86,146",68,2,2,"3,956",29,"2,38,649","8,229",2,5,13,0
98,184402,"1,14,680",65,1,2,"5,734",28,"1,47,025","5,251",2,4,88,0
99,183009,"49,181",35,3,2,738,29,"1,16,092","4,003",1,1,15,0
100,140792,"1,93,298",57,3,2,"3,866",28,"2,57,731","9,205",3,2,179,0
101,98717,"95,692",57,3,2,"4,665",32,"1,51,892","4,747",3,4,149,1
102,82241,"23,344",50,3,2,438,29,"70,847","2,443",1,2,112,0
103,163711,"7,101",33,3,2,27,32,"3,01,732","9,429",2,0,83,0
104,181143,"46,688",46,2,1,292,30,"1,31,176","4,373",4,1,148,0
105,37732,"1,76,477",33,1,2,"11,692",33,"1,87,459","5,681",1,5,97,1
106,102228,"77,284",31,3,2,483,28,"1,05,869","3,781",2,1,200,0
107,43842,"41,097",30,3,2,719,32,"1,02,717","3,210",1,1,118,0
108,77872,"1,02,743",43,2,2,"2,825",31,"1,31,722","4,249",1,5,116,1
109,62418,"78,065",51,3,1,"3,220",29,"2,10,986","7,275",5,3,161,0
110,121223,"54,444",44,3,2,749,32,"76,681","2,396",1,1,124,0
111,141982,"1,81,311",38,3,2,"2,040",33,"2,83,299","8,585",1,1,55,0
112,36439,"26,869",42,3,1,"1,209",33,"87,820","2,661",2,4,139,0
113,176746,"1,27,145",67,2,2,"2,702",31,"1,74,171","5,618",1,5,185,1
114,185385,"12,087",50,2,2,619,28,"68,478","2,446",3,5,157,0
115,128061,"70,032",42,1,1,"4,552",28,"71,701","2,561",4,5,170,0
116,163062,"1,81,815",26,3,2,"4,091",29,"1,93,130","6,660",3,2,53,0
117,49811,"2,493",61,2,1,159,31,"74,854","2,415",4,5,67,0
118,82623,"48,853",67,2,2,"2,259",28,"1,66,060","5,931",2,4,65,0
119,75803,"30,521",40,3,2,267,33,"92,629","2,807",2,1,72,0
120,40910,"9,670",52,3,1,290,35,"68,478","1,957",3,2,76,0
121,124478,"43,238",63,1,2,"2,486",30,"1,36,085","4,536",2,5,102,0
122,48172,"22,891",61,3,1,200,29,"58,694","2,024",1,1,114,0
123,129722,"1,39,660",29,2,1,"5,586",32,"2,32,767","7,274",4,3,80,0
124,52592,"44,975",45,2,2,"3,092",31,"1,12,410","3,626",4,6,128,0
125,70589,"28,254",62,1,1,"1,872",35,"92,347","2,638",2,5,37,0
126,134584,"1,18,356",50,2,2,"7,545",32,"1,66,699","5,209",1,5,101,0
127,136012,"1,26,792",57,2,2,792,33,"1,71,341","5,192",1,5,107,0
128,159329,"85,594",52,3,2,321,32,"1,12,624","3,519",2,0,184,0
129,55838,"1,16,719",28,3,2,"2,043",30,"1,85,269","6,176",1,1,171,0
130,85374,"82,270",52,1,2,"4,216",34,"1,12,699","3,315",2,4,22,0
131,35003,"1,40,667",68,2,2,"7,033",33,"2,00,954","6,090",2,4,148,0
132,62204,"1,40,667",36,1,2,"8,968",29,"1,95,372","6,737",1,5,119,0
133,122626,"2,06,015",49,3,2,258,35,"2,98,573","8,531",2,0,180,0
134,147275,"30,445",52,3,2,"1,408",30,"78,400","2,613",1,4,173,0
135,189547,"63,232",49,2,2,"4,189",31,"69,039","2,227",4,4,66,0
136,33208,"1,45,931",45,3,2,182,30,"1,61,052","5,368",1,0,186,0
137,143424,"1,18,356",48,3,1,"1,923",30,"1,87,867","6,262",1,1,46,0
138,32899,"17,275",63,3,2,648,31,"1,22,333","3,946",2,3,145,0
139,93320,"1,87,355",25,2,2,"6,323",28,"1,99,015","7,108",4,5,184,0
140,112789,"1,37,117",54,3,2,"5,485",28,"2,21,156","7,898",2,3,65,0
141,152225,"67,992",55,3,2,"1,700",31,"94,952","3,063",4,2,165,0
142,52917,"88,037",36,2,2,"5,722",28,"95,310","3,404",1,5,104,0
143,47155,"44,018",62,3,2,495,31,"1,10,018","3,549",1,1,144,0
144,39774,"65,574",30,3,2,902,33,"68,094","2,063",2,1,119,0
145,133262,"1,07,654",29,3,2,0,32,"1,15,801","3,619",3,0,16,0
146,57963,"39,486",46,2,2,"2,172",28,"1,67,772","5,992",5,5,103,0
147,181666,"1,05,035",41,3,2,"3,939",31,"1,14,432","3,691",4,3,52,0
148,186035,"67,992",45,3,2,850,33,"99,988","3,030",1,1,159,0
149,124095,"1,74,512",40,3,2,"6,108",29,"2,68,480","9,258",1,3,24,0
150,35426,"1,01,736",63,3,1,"2,798",33,"79,315","2,403",5,2,6,0
151,184910,"70,258",26,1,2,"4,215",35,"92,445","2,641",1,5,113,0
152,174279,"49,710",55,1,2,"3,045",32,"1,38,082","4,315",3,5,59,0
153,163119,"14,656",36,3,2,202,29,"95,804","3,304",1,1,94,0
154,137763,"56,181",66,3,2,702,28,"71,466","2,552",1,1,78,0
155,120358,"28,254",28,3,2,459,31,"1,69,669","5,473",3,1,58,0
156,75725,"37,471",56,2,2,843,30,"96,492","3,216",2,2,83,0
157,44527,"1,31,904",57,3,1,"5,771",31,"1,00,081","3,228",5,4,42,0
158,141278,"1,91,737",26,2,2,"3,835",30,"2,70,052","9,002",2,5,121,0
159,171986,"1,85,089",61,1,1,"9,949",35,"2,40,375","6,868",2,4,193,0
160,135449,"58,549",50,2,1,"2,708",29,"1,50,124","5,177",3,4,127,0
161,93574,"1,64,389",60,2,2,"1,438",33,"2,31,534","7,016",2,5,27,0
162,87162,"1,55,147",57,3,2,"7,369",33,"1,98,907","6,027",3,4,120,0
163,34086,"1,12,413",67,2,2,"6,604",30,"1,20,920","4,031",3,5,191,0
164,181839,"2,09,012",51,3,1,"8,622",34,"1,58,585","4,664",5,3,78,0
165,57899,"71,568",27,2,1,89,31,"1,02,240","3,298",4,0,17,0
166,88363,"1,84,484",59,2,2,"7,149",30,"2,59,837","8,661",1,5,67,0
167,125673,"2,01,936",33,3,2,"3,786",28,"2,88,480","10,303",2,2,1,0
168,162875,"1,35,984",28,1,1,"7,989",33,"1,07,997","3,273",5,5,188,0
169,155830,"1,98,561",56,3,2,"3,475",28,"2,75,780","9,849",1,1,109,0
170,162546,"1,07,880",28,3,2,944,33,"1,14,594","3,473",2,1,81,0
171,83764,"1,52,906",27,2,2,"8,601",29,"2,31,676","7,989",3,5,161,0
172,59047,"1,81,311",47,3,2,"5,893",31,"1,92,595","6,213",1,3,193,0
173,111933,"67,312",42,3,1,"3,029",31,"87,821","2,833",2,4,30,0
174,141600,"1,46,056",38,3,2,548,34,"2,17,995","6,412",1,0,115,0
175,149528,"1,00,149",41,1,2,"5,759",31,"1,39,096","4,487",1,5,7,0
176,121741,"1,77,987",36,1,2,"11,347",33,"1,96,430","5,952",1,5,139,0
177,146508,"1,54,115",65,3,2,"6,550",31,"1,65,778","5,348",1,3,63,0
178,180389,"1,01,736",55,2,2,"6,994",35,"1,49,612","4,275",4,4,43,0
179,37784,"1,98,385",67,3,1,"1,984",34,"3,14,897","9,262",3,1,70,0
180,51852,"1,60,813",41,1,2,"9,046",30,"2,20,292","7,343",2,5,129,0
181,65384,"26,592",50,3,2,997,33,"2,25,978","6,848",1,3,136,0
182,42466,"1,33,465",66,1,2,"7,507",29,"1,41,771","4,889",1,5,61,0
183,173636,"15,411",66,3,2,0,31,"77,038","2,485",1,0,39,0
184,104070,"2,417",61,3,1,63,32,"2,05,435","6,420",4,2,91,0
185,120309,"1,36,689",50,1,1,"8,543",29,"1,47,033","5,070",1,5,23,0
186,156833,"34,197",49,3,2,171,33,"83,030","2,516",1,0,56,0
187,99705,"1,40,667",31,3,1,"3,341",30,"2,06,864","6,895",4,2,181,0
188,133007,"1,93,399",36,2,2,967,28,"2,05,435","7,337",1,5,55,0
189,182634,"1,14,680",28,1,2,"7,024",28,"1,57,095","5,611",2,5,133,0
190,189697,"1,66,807",42,3,2,209,28,"2,69,043","9,609",2,0,136,0
191,128408,"1,66,958",48,1,2,"8,348",35,"2,35,152","6,719",2,4,65,0
192,154383,"2,367",27,2,1,139,32,"71,073","2,221",4,5,148,0
193,114280,"1,32,055",41,2,2,"8,749",33,"1,71,500","5,197",1,5,177,0
194,82296,"25,182",36,3,2,94,31,"77,365","2,496",4,0,129,0
195,162665,"1,31,577",40,1,2,"7,237",34,"1,82,745","5,375",1,5,57,0
196,198748,"1,51,445",25,2,2,"10,412",30,"1,60,870","5,362",2,5,155,0
197,175057,"1,43,135",37,3,2,537,34,"1,96,076","5,767",2,0,141,0
198,47396,"1,11,909",59,3,2,140,31,"1,72,168","5,554",1,0,48,0
199,47116,"85,720",53,3,2,"1,929",33,"83,025","2,516",4,2,108,0
200,73881,"1,82,268",66,3,2,"1,823",35,"1,98,576","5,674",2,1,81,0
201,157987,"89,749",67,2,2,"2,244",30,"92,202","3,073",3,2,108,0
202,79138,"1,50,060",27,3,2,"3,564",29,"2,08,417","7,187",1,2,159,0
203,133238,"47,342",69,1,1,"2,900",32,"2,51,443","7,858",5,5,140,0
204,172538,"1,28,807",65,3,2,"4,991",35,"1,38,555","3,959",3,3,60,0
205,127149,"1,39,232",49,1,2,"9,050",30,"1,51,689","5,056",1,5,104,0
206,197342,"1,74,059",34,3,2,"4,787",33,"2,76,284","8,372",1,2,200,0
207,112944,"1,19,313",56,2,2,"6,562",33,"1,31,676","3,990",2,5,108,0
208,117741,"91,562",54,1,1,"5,150",30,"1,32,699","4,423",4,5,35,0
209,191483,"35,608",50,2,2,"1,914",33,"1,26,078","3,821",1,5,126,0
210,137612,"4,885",49,2,2,122,30,"2,07,575","6,919",1,4,138,0
211,132991,"1,03,247",54,1,2,"6,840",35,"1,35,851","3,881",1,5,68,0
212,80496,"1,18,356",69,3,2,"4,290",33,"1,71,531","5,198",1,3,150,0
213,133156,"38,151",46,3,1,525,28,"98,243","3,509",1,1,18,0
214,102092,"1,19,615",37,3,2,598,31,"1,28,668","4,151",2,0,50,0
215,160990,"23,419",68,2,2,"1,581",29,"1,56,261","5,388",3,5,72,0
216,133743,"37,773",41,3,2,"1,841",29,"1,01,386","3,496",4,4,138,0
217,82844,"1,82,369",50,3,1,"8,663",34,"2,76,317","8,127",4,4,48,0
218,166638,"40,241",67,3,2,553,29,"99,146","3,419",3,1,121,0
219,112942,"43,968",32,2,2,"2,198",35,"1,44,650","4,133",4,4,188,0
220,168211,"49,710",66,1,2,"3,231",32,"1,28,008","4,000",2,5,16,0
221,48744,"1,11,204",48,3,2,"3,753",33,"1,46,322","4,434",1,3,80,0
222,187698,"35,885",28,3,1,404,31,"1,26,660","4,086",3,1,71,0
223,65872,"77,813",37,2,2,"2,529",32,"1,08,400","3,388",1,5,189,0
224,120966,"2,569",40,2,2,100,28,"1,09,137","3,898",2,3,77,0
225,80850,"45,781",41,2,2,"3,090",34,"1,69,149","4,975",1,5,53,0
226,194815,"69,100",53,3,2,345,32,"88,970","2,780",1,0,35,0
227,121865,"1,32,131",29,3,2,"3,138",32,"1,73,856","5,433",1,2,189,0
228,134660,"1,60,284",31,3,1,"1,202",35,"1,70,259","4,865",3,1,127,0
229,99832,"1,78,970",35,1,2,"10,738",34,"2,48,569","7,311",3,5,39,0
230,161629,"32,409",30,2,1,"1,620",29,"94,969","3,275",1,4,74,0
231,81640,"85,216",45,2,2,"5,539",34,"86,734","2,551",3,5,189,0
232,103766,"1,77,232",49,3,2,"1,994",34,"1,88,262","5,537",1,1,71,0
233,50212,"1,27,422",54,2,2,"3,663",29,"1,65,483","5,706",2,5,190,0
234,35911,"1,09,693",53,3,1,"1,920",32,"1,61,314","5,041",2,1,19,0
235,88941,"7,101",55,3,2,346,29,"75,433","2,601",1,4,178,0
236,62609,"1,73,429",41,3,2,"8,021",34,"1,88,946","5,557",1,4,39,0
237,49040,"1,39,660",38,3,2,"2,968",33,"1,88,730","5,719",2,2,60,0
238,66797,"93,678",61,3,2,"3,162",35,"1,23,260","3,522",1,3,183,0
239,151295,"94,106",59,3,2,"3,176",32,"1,22,850","3,839",4,3,84,0
240,51784,"25,484",44,1,2,"1,593",35,"1,09,310","3,123",3,5,187,0
241,150673,"21,757",25,3,1,326,28,"73,956","2,641",5,1,135,0
242,78326,"63,585",42,3,1,"1,192",31,"67,404","2,174",1,2,33,0
243,106413,"1,14,680",53,1,1,"6,451",28,"1,79,187","6,400",3,5,152,0
244,34926,"59,077",41,3,2,"1,108",32,"82,052","2,564",1,2,177,0
245,194842,"1,33,491",60,2,2,834,30,"1,90,701","6,357",1,1,32,0
246,153668,"56,181",57,3,2,"2,037",33,"86,433","2,619",1,3,107,0
247,187945,"23,344",67,1,2,"1,226",30,"1,27,437","4,248",4,4,48,0
248,147253,"2,10,624",34,2,2,"1,053",30,"2,10,570","7,019",2,5,107,0
249,183701,"70,032",53,2,2,"2,714",32,"76,510","2,391",1,5,78,0
250,77532,"44,975",65,3,2,0,28,"1,31,791","4,707",2,0,131,0
251,130445,"1,30,998",60,1,2,"8,351",30,"1,92,643","6,421",1,5,148,0
252,171994,"1,21,907",54,3,2,457,28,"1,69,315","6,047",1,0,183,0
253,153469,"1,66,807",54,3,1,"5,004",32,"2,56,625","8,020",1,2,83,0
254,147264,"1,90,075",42,3,2,"6,653",30,"2,40,601","8,020",4,3,13,0
255,192225,"1,27,019",64,1,2,"7,939",32,"1,38,383","4,324",2,5,21,0
256,113618,"42,608",41,2,2,"1,811",28,"1,44,831","5,173",2,5,14,0
257,48886,"92,318",64,1,1,"4,847",35,"2,63,765","7,536",5,4,199,0
258,137885,"1,75,167",58,3,2,"8,320",29,"2,33,556","8,054",3,4,167,0
259,161431,"2,00,349",61,3,2,"1,252",29,"2,67,132","9,211",4,1,12,0
260,187388,"38,529",52,3,1,"1,108",30,"88,490","2,950",4,2,23,0
261,120173,"89,019",33,3,1,890,34,"91,451","2,690",4,1,54,0
262,184147,"9,871",25,3,2,74,33,"1,39,810","4,237",1,1,90,0
263,115729,"24,930",66,2,2,841,35,"1,66,342","4,753",4,4,121,0
264,77506,"65,574",49,3,2,492,30,"68,094","2,270",2,1,22,0
265,98107,"21,077",49,2,2,"1,449",30,"55,467","1,849",1,5,141,0
266,161208,"2,392",58,3,2,66,29,"2,03,295","7,010",1,2,191,0
267,116070,"1,19,540",50,3,2,"1,494",29,"1,61,540","5,570",3,1,182,0
268,126962,"1,41,020",54,3,2,"2,820",31,"1,93,178","6,232",2,2,28,0
269,138872,"1,10,046",47,3,2,"1,376",31,"1,39,299","4,494",2,1,74,0
270,59919,"29,312",49,3,2,989,31,"1,46,523","4,727",1,3,138,0
271,147029,"1,60,964",60,2,2,"3,018",32,"2,23,562","6,986",2,5,99,0
272,122474,"1,97,856",39,2,1,"5,688",33,"2,74,800","8,327",3,2,163,0
273,140731,"1,99,443",42,3,2,"9,723",33,"2,77,004","8,394",1,4,3,0
274,144614,"2,13,192",64,1,2,"11,459",33,"2,26,460","6,862",1,4,76,0
275,88747,"1,64,389",33,3,2,"3,493",35,"1,74,619","4,989",1,2,130,0
276,187450,"43,968",62,1,2,"2,803",32,"1,33,441","4,170",1,5,37,0
277,157541,"1,63,407",49,2,2,"3,881",32,"1,75,773","5,493",1,5,41,0
278,125235,"23,117",68,2,2,"1,098",34,"1,03,393","3,041",1,4,32,0
279,135824,"17,628",52,2,1,"1,102",33,"99,864","3,026",4,5,189,0
280,62450,"44,094",36,2,2,661,28,"1,33,823","4,779",1,5,9,0
281,157084,"21,077",50,2,2,448,35,"55,467","1,585",1,2,122,0
282,95096,"64,819",43,3,2,405,35,"68,853","1,967",1,1,8,0
283,176404,"63,509",42,3,2,"1,826",35,"65,023","1,858",1,2,89,0
284,57854,"1,80,153",34,3,1,"8,557",32,"2,28,042","7,126",1,4,138,0
285,100194,"1,71,188",49,2,2,"3,852",33,"1,84,144","5,580",2,5,71,0
286,116310,"86,375",63,3,1,"1,080",34,"1,09,552","3,222",2,1,77,0
287,194203,"1,71,188",42,2,1,"8,345",35,"1,86,504","5,329",4,5,195,0
288,73367,"1,18,457",54,3,2,"5,775",34,"1,27,421","3,748",1,4,81,0
289,169331,"87,332",49,1,2,"5,677",31,"1,13,418","3,659",1,5,136,0
290,140042,"1,51,496",28,2,1,"7,007",31,"2,52,493","8,145",1,4,112,0
291,51033,"1,77,987",64,3,2,0,34,"2,82,520","8,309",1,0,23,0
292,91909,"1,60,284",27,3,2,401,34,"1,76,893","5,203",2,0,2,0
293,70860,"1,00,149",34,3,2,0,29,"1,30,064","4,485",3,0,53,0
294,166668,"1,87,355",36,3,2,"4,684",33,"2,43,318","7,373",2,2,100,0
295,32169,"88,843",27,2,2,"4,775",30,"1,16,898","3,897",1,4,74,0
296,74773,"1,12,186",39,2,2,561,33,"1,19,168","3,611",1,5,15,0
297,182337,"4,936",30,3,2,31,34,"69,905","2,056",1,1,82,0
298,185079,"1,95,212",53,3,1,"2,196",35,"1,39,402","3,983",5,1,11,0
299,54000,"4,986",31,3,2,0,30,"4,23,709","14,124",1,0,71,0
300,140709,"49,861",55,3,2,374,33,"1,10,081","3,336",3,1,12,0
301,196797,"37,773",26,3,1,"1,039",29,"94,409","3,255",2,2,13,0
302,99853,"1,88,866",64,3,1,"8,971",30,"2,62,314","8,744",1,4,146,0
303,133265,"82,270",41,1,2,"5,039",33,"90,087","2,730",4,5,104,0
304,198683,"1,68,544",56,3,1,211,33,"2,71,845","8,238",1,0,197,0
305,113161,"1,38,502",37,3,2,"2,943",29,"2,19,844","7,581",3,2,117,0
306,169093,"1,45,956",35,1,2,"9,305",32,"1,97,237","6,164",1,5,176,0
307,111354,"1,41,272",52,3,1,"5,298",28,"1,51,963","5,427",4,3,68,0
308,80607,"74,161",60,3,2,93,31,"77,011","2,484",1,0,36,0
309,61237,"1,90,981",27,3,2,"6,207",35,"2,80,855","8,024",2,3,91,0
310,120660,"96,699",46,3,2,"3,264",32,"1,58,524","4,954",2,3,51,0
311,62020,"28,531",48,3,1,"1,034",28,"1,01,023","3,608",5,3,36,0
312,193542,"1,28,429",46,2,2,"3,532",28,"2,07,143","7,398",1,5,91,0
313,75304,"1,73,429",61,2,2,"6,937",32,"2,62,772","8,212",1,3,165,0
314,73718,"97,606",57,1,2,"6,710",28,"1,04,993","3,750",1,6,156,0
315,192011,"67,312",56,3,2,"1,515",33,"87,418","2,649",2,2,96,0
316,61601,"75,219",66,2,2,"3,573",32,"1,21,321","3,791",1,4,116,0
317,166027,"1,40,214",63,3,1,"2,278",28,"1,16,816","4,172",5,1,19,0
318,61419,"92,469",53,3,2,"1,387",35,"1,30,238","3,721",4,1,9,0
319,170003,"1,52,302",55,2,1,"2,475",30,"2,08,632","6,954",4,5,60,0
320,162482,"1,99,443",55,3,2,"6,482",31,"3,11,629","10,053",1,3,33,0
321,175081,"1,11,532",25,1,2,"5,437",29,"1,54,905","5,342",2,4,150,1
322,148870,"29,312",58,2,2,696,34,"1,18,614","3,489",2,5,129,1
323,98497,"25,938",36,3,2,357,31,"81,635","2,633",1,1,161,1
324,157198,"1,65,321",51,3,2,"3,306",34,"1,82,451","5,366",4,2,180,0
325,153214,"82,270",67,2,2,"4,422",30,"1,05,474","3,516",1,5,45,0
326,159592,"49,861",59,3,2,810,33,"1,46,107","4,427",1,1,123,0
327,191635,"1,89,345",26,3,1,473,35,"2,66,683","7,620",4,0,130,0
328,36820,"1,59,554",49,3,2,"2,992",29,"2,65,924","9,170",3,2,61,0
329,47035,"48,325",45,1,1,"3,202",30,"1,52,095","5,070",1,5,134,1
330,144978,"87,584",55,1,2,"5,912",34,"1,19,977","3,529",3,5,162,0
331,78566,"1,07,200",33,1,1,"7,236",30,"1,44,865","4,829",3,5,75,0
